Year,Month,Date,Currency,VS 1USD,Inverse 1USD
2024,09,02,Philippine Peso,56.182966,0.017799
2024,09,02,Polish Zloty,3.882694,0.257553
2024,09,02,Qatari Riyal,3.640000,0.274725
2024,09,02,Romanian New Leu,4.505760,0.221938
2024,09,02,Russian Ruble,90.450217,0.011056
2024,09,02,Saudi Arabian Riyal,3.750000,0.266667
2024,09,02,Singapore Dollar,1.306060,0.765662
2024,09,02,South African Rand,17.848456,0.056027
2024,09,02,Sri Lankan Rupee,299.201683,0.003342
2024,09,02,Swedish Krona,10.273757,0.097335
2024,09,02,Swiss Franc,0.850741,1.175446
2024,09,02,Taiwan New Dollar,32.020234,0.031230
2024,09,02,Thai Baht,34.066759,0.029354
2024,09,02,Trinidadian Dollar,6.776845,0.147561
2024,09,02,Turkish Lira,34.081996,0.029341
2024,09,02,Emirati Dirham,3.672500,0.272294
2024,09,02,British Pound,0.761605,1.313017
2024,09,03,Argentine Peso,952.664443,0.001050
2024,09,03,Australian Dollar,1.473502,0.678655
2024,09,03,Bahraini Dinar,0.376000,2.659574
2024,09,03,Botswana Pula,13.277393,0.075316
2024,09,03,Brazilian Real,5.616495,0.178047
2024,09,03,Bruneian Dollar,1.307160,0.765017
2024,09,03,Bulgarian Lev,1.767215,0.565862
2024,09,03,Canadian Dollar,1.349882,0.740805
2024,09,03,Chilean Peso,915.512536,0.001092
2024,09,03,Chinese Yuan Renminbi,7.116903,0.140511
2024,09,03,Colombian Peso,4149.091996,0.000241
2024,09,03,Czech Koruna,22.622290,0.044204
2024,09,03,Danish Krone,6.739831,0.148372
2024,09,03,Euro,0.903562,1.106730
2024,09,03,Hong Kong Dollar,7.796771,0.128258
2024,09,03,Hungarian Forint,354.676428,0.002819
2024,09,03,Icelandic Krona,138.522405,0.007219
2024,09,03,Indian Rupee,83.928839,0.011915
2024,09,03,Indonesian Rupiah,15558.727836,0.000064
2024,09,03,Iranian Rial,42289.685134,0.000024
2024,09,03,Israeli Shekel,3.653739,0.273692
2024,09,03,Japanese Yen,146.754169,0.006814
2024,09,03,Kazakhstani Tenge,482.528539,0.002072
2024,09,03,South Korean Won,1338.014340,0.000747
2024,09,03,Kuwaiti Dinar,0.305571,3.272558
2024,09,03,Libyan Dinar,4.765880,0.209825
2024,09,03,Malaysian Ringgit,4.355825,0.229578
2024,09,03,Mauritian Rupee,46.502555,0.021504
2024,09,03,Mexican Peso,19.851830,0.050373
2024,09,03,Nepalese Rupee,134.349089,0.007443
2024,09,03,New Zealand Dollar,1.605293,0.622939
2024,09,03,Norwegian Krone,10.596040,0.094375
2024,09,03,Omani Rial,0.384973,2.597584
2024,09,03,Pakistani Rupee,278.608128,0.003589
2024,09,03,Philippine Peso,56.483783,0.017704
2024,09,03,Polish Zloty,3.858217,0.259187
2024,09,03,Qatari Riyal,3.640000,0.274725
2024,09,03,Romanian New Leu,4.495424,0.222448
2024,09,03,Russian Ruble,89.796965,0.011136
2024,09,03,Saudi Arabian Riyal,3.750000,0.266667
2024,09,03,Singapore Dollar,1.307160,0.765017
2024,09,03,South African Rand,17.822716,0.056108
2024,09,03,Sri Lankan Rupee,298.941927,0.003345
2024,09,03,Swedish Krona,10.252728,0.097535
2024,09,03,Swiss Franc,0.851469,1.174441
2024,09,03,Taiwan New Dollar,32.051626,0.031200
2024,09,03,Thai Baht,34.182375,0.029255
2024,09,03,Trinidadian Dollar,6.785662,0.147370
2024,09,03,Turkish Lira,33.923049,0.029478
2024,09,03,Emirati Dirham,3.672500,0.272294
2024,09,03,British Pound,0.761008,1.314046
2024,09,04,Argentine Peso,953.490003,0.001049
2024,09,04,Australian Dollar,1.489535,0.671351
2024,09,04,Bahraini Dinar,0.376000,2.659574
2024,09,04,Botswana Pula,13.296617,0.075207
2024,09,04,Brazilian Real,5.648960,0.177024
2024,09,04,Bruneian Dollar,1.306853,0.765197
2024,09,04,Bulgarian Lev,1.770073,0.564949
2024,09,04,Canadian Dollar,1.354381,0.738345
2024,09,04,Chilean Peso,928.787942,0.001077
2024,09,04,Chinese Yuan Renminbi,7.120961,0.140430
2024,09,04,Colombian Peso,4187.808051,0.000239
2024,09,04,Czech Koruna,22.727364,0.044000
2024,09,04,Danish Krone,6.751551,0.148114
2024,09,04,Euro,0.905024,1.104943
2024,09,04,Hong Kong Dollar,7.798327,0.128233
2024,09,04,Hungarian Forint,356.409568,0.002806
2024,09,04,Icelandic Krona,138.920019,0.007198
2024,09,04,Indian Rupee,83.950988,0.011912
2024,09,04,Indonesian Rupiah,15560.328406,0.000064
2024,09,04,Iranian Rial,42266.554783,0.000024
2024,09,04,Israeli Shekel,3.690861,0.270939
2024,09,04,Japanese Yen,145.359670,0.006879
2024,09,04,Kazakhstani Tenge,482.910359,0.002071
2024,09,04,South Korean Won,1341.393748,0.000745
2024,09,04,Kuwaiti Dinar,0.305500,3.273324
2024,09,04,Libyan Dinar,4.759765,0.210094
2024,09,04,Malaysian Ringgit,4.362890,0.229206
2024,09,04,Mauritian Rupee,46.603132,0.021458
2024,09,04,Mexican Peso,19.803781,0.050495
2024,09,04,Nepalese Rupee,134.384544,0.007441
2024,09,04,New Zealand Dollar,1.616286,0.618702
2024,09,04,Norwegian Krone,10.685382,0.093586
2024,09,04,Omani Rial,0.384973,2.597584
2024,09,04,Pakistani Rupee,278.707490,0.003588
2024,09,04,Philippine Peso,56.519047,0.017693
2024,09,04,Polish Zloty,3.874261,0.258114
2024,09,04,Qatari Riyal,3.640000,0.274725
2024,09,04,Romanian New Leu,4.500728,0.222186
2024,09,04,Russian Ruble,87.600990,0.011415
2024,09,04,Saudi Arabian Riyal,3.750000,0.266667
2024,09,04,Singapore Dollar,1.306853,0.765197
2024,09,04,South African Rand,17.968057,0.055654
2024,09,04,Sri Lankan Rupee,298.981087,0.003345
2024,09,04,Swedish Krona,10.299549,0.097092
2024,09,04,Swiss Franc,0.849989,1.176486
2024,09,04,Taiwan New Dollar,32.094858,0.031158
2024,09,04,Thai Baht,34.281585,0.029170
2024,09,04,Trinidadian Dollar,6.784215,0.147401
2024,09,04,Turkish Lira,34.007775,0.029405
2024,09,04,Emirati Dirham,3.672500,0.272294
2024,09,04,British Pound,0.762572,1.311351
2024,09,05,Argentine Peso,953.224833,0.001049
2024,09,05,Australian Dollar,1.489077,0.671557
2024,09,05,Bahraini Dinar,0.376000,2.659574
2024,09,05,Botswana Pula,13.317613,0.075089
2024,09,05,Brazilian Real,5.643270,0.177202
2024,09,05,Bruneian Dollar,1.303454,0.767192
2024,09,05,Bulgarian Lev,1.765044,0.566558
2024,09,05,Canadian Dollar,1.350948,0.740221
2024,09,05,Chilean Peso,943.272518,0.001060
2024,09,05,Chinese Yuan Renminbi,7.111894,0.140610
2024,09,05,Colombian Peso,4184.944952,0.000239
2024,09,05,Czech Koruna,22.608663,0.044231
2024,09,05,Danish Krone,6.732541,0.148532
2024,09,05,Euro,0.902453,1.108091
2024,09,05,Hong Kong Dollar,7.795746,0.128275
2024,09,05,Hungarian Forint,354.821873,0.002818
2024,09,05,Icelandic Krona,138.531362,0.007219
2024,09,05,Indian Rupee,83.981258,0.011907
2024,09,05,Indonesian Rupiah,15456.571467,0.000065
2024,09,05,Iranian Rial,42142.885659,0.000024
2024,09,05,Israeli Shekel,3.686274,0.271277
2024,09,05,Japanese Yen,143.327422,0.006977
2024,09,05,Kazakhstani Tenge,482.270583,0.002074
2024,09,05,South Korean Won,1335.360247,0.000749
2024,09,05,Kuwaiti Dinar,0.305297,3.275496
2024,09,05,Libyan Dinar,4.753286,0.210381
2024,09,05,Malaysian Ringgit,4.346939,0.230047
2024,09,05,Mauritian Rupee,46.132630,0.021677
2024,09,05,Mexican Peso,19.950721,0.050124
2024,09,05,Nepalese Rupee,134.433000,0.007439
2024,09,05,New Zealand Dollar,1.616540,0.618605
2024,09,05,Norwegian Krone,10.642715,0.093961
2024,09,05,Omani Rial,0.384973,2.597583
2024,09,05,Pakistani Rupee,278.088272,0.003596
2024,09,05,Philippine Peso,56.501841,0.017699
2024,09,05,Polish Zloty,3.857611,0.259228
2024,09,05,Qatari Riyal,3.640000,0.274725
2024,09,05,Romanian New Leu,4.486523,0.222890
2024,09,05,Russian Ruble,87.504351,0.011428
2024,09,05,Saudi Arabian Riyal,3.750000,0.266667
2024,09,05,Singapore Dollar,1.303454,0.767192
2024,09,05,South African Rand,17.873416,0.055949
2024,09,05,Sri Lankan Rupee,298.164833,0.003354
2024,09,05,Swedish Krona,10.274046,0.097333
2024,09,05,Swiss Franc,0.846105,1.181887
2024,09,05,Taiwan New Dollar,32.066008,0.031186
2024,09,05,Thai Baht,33.990933,0.029420
2024,09,05,Trinidadian Dollar,6.785577,0.147371
2024,09,05,Turkish Lira,34.050363,0.029368
2024,09,05,Emirati Dirham,3.672500,0.272294
2024,09,05,British Pound,0.760794,1.314416
2024,09,06,Argentine Peso,953.824325,0.001048
2024,09,06,Australian Dollar,1.483574,0.674048
2024,09,06,Bahraini Dinar,0.376000,2.659574
2024,09,06,Botswana Pula,13.316165,0.075097
2024,09,06,Brazilian Real,5.569135,0.179561
2024,09,06,Bruneian Dollar,1.299822,0.769336
2024,09,06,Bulgarian Lev,1.760185,0.568122
2024,09,06,Canadian Dollar,1.350010,0.740735
2024,09,06,Chilean Peso,942.676644,0.001061
2024,09,06,Chinese Yuan Renminbi,7.092213,0.141000
2024,09,06,Colombian Peso,4157.287608,0.000241
2024,09,06,Czech Koruna,22.525871,0.044393
2024,09,06,Danish Krone,6.714350,0.148935
2024,09,06,Euro,0.899968,1.111150
2024,09,06,Hong Kong Dollar,7.794056,0.128303
2024,09,06,Hungarian Forint,353.919324,0.002826
2024,09,06,Icelandic Krona,137.975240,0.007248
2024,09,06,Indian Rupee,83.982564,0.011907
2024,09,06,Indonesian Rupiah,15420.242725,0.000065
2024,09,06,Iranian Rial,42114.093030,0.000024
2024,09,06,Israeli Shekel,3.705875,0.269842
2024,09,06,Japanese Yen,143.406592,0.006973
2024,09,06,Kazakhstani Tenge,482.060278,0.002074
2024,09,06,South Korean Won,1333.347569,0.000750
2024,09,06,Kuwaiti Dinar,0.305381,3.274599
2024,09,06,Libyan Dinar,4.765045,0.209862
2024,09,06,Malaysian Ringgit,4.333454,0.230763
2024,09,06,Mauritian Rupee,46.032060,0.021724
2024,09,06,Mexican Peso,19.891351,0.050273
2024,09,06,Nepalese Rupee,134.435089,0.007439
2024,09,06,New Zealand Dollar,1.606697,0.622395
2024,09,06,Norwegian Krone,10.629820,0.094075
2024,09,06,Omani Rial,0.384969,2.597614
2024,09,06,Pakistani Rupee,278.360810,0.003592
2024,09,06,Philippine Peso,56.013763,0.017853
2024,09,06,Polish Zloty,3.854524,0.259435
2024,09,06,Qatari Riyal,3.640000,0.274725
2024,09,06,Romanian New Leu,4.474835,0.223472
2024,09,06,Russian Ruble,88.252082,0.011331
2024,09,06,Saudi Arabian Riyal,3.750000,0.266667
2024,09,06,Singapore Dollar,1.299822,0.769336
2024,09,06,South African Rand,17.706460,0.056477
2024,09,06,Sri Lankan Rupee,298.523508,0.003350
2024,09,06,Swedish Krona,10.251717,0.097545
2024,09,06,Swiss Franc,0.843915,1.184954
2024,09,06,Taiwan New Dollar,32.030757,0.031220
2024,09,06,Thai Baht,33.608438,0.029754
2024,09,06,Trinidadian Dollar,6.776679,0.147565
2024,09,06,Turkish Lira,33.991487,0.029419
2024,09,06,Emirati Dirham,3.672500,0.272294
2024,09,06,British Pound,0.758912,1.317677
2024,09,07,Argentine Peso,955.738856,0.001046
2024,09,07,Australian Dollar,1.499658,0.666819
2024,09,07,Bahraini Dinar,0.376000,2.659574
2024,09,07,Botswana Pula,13.331754,0.075009
2024,09,07,Brazilian Real,5.598549,0.178618
2024,09,07,Bruneian Dollar,1.303440,0.767201
2024,09,07,Bulgarian Lev,1.762949,0.567231
2024,09,07,Canadian Dollar,1.356937,0.736954
2024,09,07,Chilean Peso,945.751464,0.001057
2024,09,07,Chinese Yuan Renminbi,7.087659,0.141090
2024,09,07,Colombian Peso,4173.514672,0.000240
2024,09,07,Czech Koruna,22.582054,0.044283
2024,09,07,Danish Krone,6.730674,0.148574
2024,09,07,Euro,0.901381,1.109408
2024,09,07,Hong Kong Dollar,7.796414,0.128264
2024,09,07,Hungarian Forint,355.132220,0.002816
2024,09,07,Icelandic Krona,137.578453,0.007269
2024,09,07,Indian Rupee,83.980454,0.011908
2024,09,07,Indonesian Rupiah,15454.500411,0.000065
2024,09,07,Iranian Rial,42087.449935,0.000024
2024,09,07,Israeli Shekel,3.728361,0.268214
2024,09,07,Japanese Yen,142.302216,0.007027
2024,09,07,Kazakhstani Tenge,479.403131,0.002086
2024,09,07,South Korean Won,1338.571931,0.000747
2024,09,07,Kuwaiti Dinar,0.305436,3.274009
2024,09,07,Libyan Dinar,4.759796,0.210093
2024,09,07,Malaysian Ringgit,4.333926,0.230738
2024,09,07,Mauritian Rupee,45.934045,0.021770
2024,09,07,Mexican Peso,19.967859,0.050080
2024,09,07,Nepalese Rupee,134.431711,0.007439
2024,09,07,New Zealand Dollar,1.619624,0.617427
2024,09,07,Norwegian Krone,10.715378,0.093324
2024,09,07,Omani Rial,0.384959,2.597679
2024,09,07,Pakistani Rupee,278.384677,0.003592
2024,09,07,Philippine Peso,56.217812,0.017788
2024,09,07,Polish Zloty,3.863142,0.258857
2024,09,07,Qatari Riyal,3.640000,0.274725
2024,09,07,Romanian New Leu,4.484561,0.222987
2024,09,07,Russian Ruble,90.282495,0.011076
2024,09,07,Saudi Arabian Riyal,3.750000,0.266667
2024,09,07,Singapore Dollar,1.303440,0.767201
2024,09,07,South African Rand,17.841151,0.056050
2024,09,07,Sri Lankan Rupee,298.809402,0.003347
2024,09,07,Swedish Krona,10.300282,0.097085
2024,09,07,Swiss Franc,0.843203,1.185955
2024,09,07,Taiwan New Dollar,32.041389,0.031210
2024,09,07,Thai Baht,33.717200,0.029658
2024,09,07,Trinidadian Dollar,6.774414,0.147614
2024,09,07,Turkish Lira,33.989702,0.029421
2024,09,07,Emirati Dirham,3.672500,0.272294
2024,09,07,British Pound,0.761541,1.313128
2024,09,08,Argentine Peso,956.002945,0.001046
2024,09,08,Australian Dollar,1.499314,0.666972
2024,09,08,Bahraini Dinar,0.376000,2.659574
2024,09,08,Botswana Pula,13.332880,0.075003
2024,09,08,Brazilian Real,5.590547,0.178873
2024,09,08,Bruneian Dollar,1.302708,0.767632
2024,09,08,Bulgarian Lev,1.763997,0.566894
2024,09,08,Canadian Dollar,1.357387,0.736709
2024,09,08,Chilean Peso,944.130367,0.001059
2024,09,08,Chinese Yuan Renminbi,7.087633,0.141091
2024,09,08,Colombian Peso,4175.905209,0.000239
2024,09,08,Czech Koruna,22.586147,0.044275
2024,09,08,Danish Krone,6.732332,0.148537
2024,09,08,Euro,0.901918,1.108749
2024,09,08,Hong Kong Dollar,7.795610,0.128277
2024,09,08,Hungarian Forint,354.964344,0.002817
2024,09,08,Icelandic Krona,138.066010,0.007243
2024,09,08,Indian Rupee,83.990407,0.011906
2024,09,08,Indonesian Rupiah,15365.452160,0.000065
2024,09,08,Iranian Rial,42002.596112,0.000024
2024,09,08,Israeli Shekel,3.729253,0.268150
2024,09,08,Japanese Yen,142.317061,0.007027
2024,09,08,Kazakhstani Tenge,479.150845,0.002087
2024,09,08,South Korean Won,1337.319201,0.000748
2024,09,08,Kuwaiti Dinar,0.306400,3.263704
2024,09,08,Libyan Dinar,4.759400,0.210111
2024,09,08,Malaysian Ringgit,4.330690,0.230910
2024,09,08,Mauritian Rupee,45.939498,0.021768
2024,09,08,Mexican Peso,19.977820,0.050056
2024,09,08,Nepalese Rupee,134.447644,0.007438
2024,09,08,New Zealand Dollar,1.619902,0.617321
2024,09,08,Norwegian Krone,10.716799,0.093311
2024,09,08,Omani Rial,0.385102,2.596714
2024,09,08,Pakistani Rupee,278.535781,0.003590
2024,09,08,Philippine Peso,56.182387,0.017799
2024,09,08,Polish Zloty,3.862321,0.258912
2024,09,08,Qatari Riyal,3.640000,0.274725
2024,09,08,Romanian New Leu,4.482033,0.223113
2024,09,08,Russian Ruble,90.329826,0.011071
2024,09,08,Saudi Arabian Riyal,3.750000,0.266667
2024,09,08,Singapore Dollar,1.302708,0.767632
2024,09,08,South African Rand,17.853907,0.056010
2024,09,08,Sri Lankan Rupee,298.795194,0.003347
2024,09,08,Swedish Krona,10.300455,0.097083
2024,09,08,Swiss Franc,0.842983,1.186263
2024,09,08,Taiwan New Dollar,32.072934,0.031179
2024,09,08,Thai Baht,33.719386,0.029657
2024,09,08,Trinidadian Dollar,6.783725,0.147412
2024,09,08,Turkish Lira,33.962775,0.029444
2024,09,08,Emirati Dirham,3.672500,0.272294
2024,09,08,British Pound,0.761522,1.313159
2024,09,09,Argentine Peso,955.629118,0.001046
2024,09,09,Australian Dollar,1.499163,0.667039
2024,09,09,Bahraini Dinar,0.376000,2.659574
2024,09,09,Botswana Pula,13.303687,0.075167
2024,09,09,Brazilian Real,5.596617,0.178679
2024,09,09,Bruneian Dollar,1.303346,0.767256
2024,09,09,Bulgarian Lev,1.764004,0.566892
2024,09,09,Canadian Dollar,1.356283,0.737309
2024,09,09,Chilean Peso,945.946332,0.001057
2024,09,09,Chinese Yuan Renminbi,7.087628,0.141091
2024,09,09,Colombian Peso,4181.405242,0.000239
2024,09,09,Czech Koruna,22.575270,0.044296
2024,09,09,Danish Krone,6.730266,0.148583
2024,09,09,Euro,0.901921,1.108745
2024,09,09,Hong Kong Dollar,7.795666,0.128276
2024,09,09,Hungarian Forint,355.215083,0.002815
2024,09,09,Icelandic Krona,137.548369,0.007270
2024,09,09,Indian Rupee,83.986400,0.011907
2024,09,09,Indonesian Rupiah,15406.591406,0.000065
2024,09,09,Iranian Rial,42071.917350,0.000024
2024,09,09,Israeli Shekel,3.740463,0.267347
2024,09,09,Japanese Yen,142.503968,0.007017
2024,09,09,Kazakhstani Tenge,479.368955,0.002086
2024,09,09,South Korean Won,1338.385176,0.000747
2024,09,09,Kuwaiti Dinar,0.305960,3.268403
2024,09,09,Libyan Dinar,4.764985,0.209864
2024,09,09,Malaysian Ringgit,4.335952,0.230630
2024,09,09,Mauritian Rupee,45.941802,0.021767
2024,09,09,Mexican Peso,19.955839,0.050111
2024,09,09,Nepalese Rupee,134.441229,0.007438
2024,09,09,New Zealand Dollar,1.620603,0.617054
2024,09,09,Norwegian Krone,10.711847,0.093355
2024,09,09,Omani Rial,0.385091,2.596791
2024,09,09,Pakistani Rupee,278.598832,0.003589
2024,09,09,Philippine Peso,55.999270,0.017857
2024,09,09,Polish Zloty,3.861514,0.258966
2024,09,09,Qatari Riyal,3.640000,0.274725
2024,09,09,Romanian New Leu,4.485157,0.222958
2024,09,09,Russian Ruble,90.178626,0.011089
2024,09,09,Saudi Arabian Riyal,3.750000,0.266667
2024,09,09,Singapore Dollar,1.303346,0.767256
2024,09,09,South African Rand,17.834153,0.056072
2024,09,09,Sri Lankan Rupee,298.859584,0.003346
2024,09,09,Swedish Krona,10.301946,0.097069
2024,09,09,Swiss Franc,0.844040,1.184778
2024,09,09,Taiwan New Dollar,32.053753,0.031198
2024,09,09,Thai Baht,33.702266,0.029672
2024,09,09,Trinidadian Dollar,6.785142,0.147381
2024,09,09,Turkish Lira,34.018656,0.029396
2024,09,09,Emirati Dirham,3.672500,0.272294
2024,09,09,British Pound,0.761474,1.313242
2024,09,10,Argentine Peso,957.807662,0.001044
2024,09,10,Australian Dollar,1.502096,0.665737
2024,09,10,Bahraini Dinar,0.376000,2.659574
2024,09,10,Botswana Pula,13.314237,0.075108
2024,09,10,Brazilian Real,5.585454,0.179036
2024,09,10,Bruneian Dollar,1.306023,0.765683
2024,09,10,Bulgarian Lev,1.772365,0.564218
2024,09,10,Canadian Dollar,1.356501,0.737191
2024,09,10,Chilean Peso,943.909284,0.001059
2024,09,10,Chinese Yuan Renminbi,7.113303,0.140582
2024,09,10,Colombian Peso,4236.001050,0.000236
2024,09,10,Czech Koruna,22.701606,0.044050
2024,09,10,Danish Krone,6.761818,0.147889
2024,09,10,Euro,0.906196,1.103514
2024,09,10,Hong Kong Dollar,7.796652,0.128260
2024,09,10,Hungarian Forint,359.577803,0.002781
2024,09,10,Icelandic Krona,138.016631,0.007246
2024,09,10,Indian Rupee,83.980680,0.011908
2024,09,10,Indonesian Rupiah,15454.076438,0.000065
2024,09,10,Iranian Rial,42256.345199,0.000024
2024,09,10,Israeli Shekel,3.763798,0.265689
2024,09,10,Japanese Yen,143.194293,0.006984
2024,09,10,Kazakhstani Tenge,479.045685,0.002087
2024,09,10,South Korean Won,1341.720432,0.000745
2024,09,10,Kuwaiti Dinar,0.305440,3.273964
2024,09,10,Libyan Dinar,4.759946,0.210086
2024,09,10,Malaysian Ringgit,4.366684,0.229007
2024,09,10,Mauritian Rupee,46.032277,0.021724
2024,09,10,Mexican Peso,19.897379,0.050258
2024,09,10,Nepalese Rupee,134.432074,0.007439
2024,09,10,New Zealand Dollar,1.628201,0.614175
2024,09,10,Norwegian Krone,10.842995,0.092225
2024,09,10,Omani Rial,0.384977,2.597561
2024,09,10,Pakistani Rupee,278.797079,0.003587
2024,09,10,Philippine Peso,56.356749,0.017744
2024,09,10,Polish Zloty,3.874861,0.258074
2024,09,10,Qatari Riyal,3.640000,0.274725
2024,09,10,Romanian New Leu,4.507499,0.221853
2024,09,10,Russian Ruble,90.529406,0.011046
2024,09,10,Saudi Arabian Riyal,3.750000,0.266667
2024,09,10,Singapore Dollar,1.306023,0.765683
2024,09,10,South African Rand,17.876094,0.055941
2024,09,10,Sri Lankan Rupee,300.843882,0.003324
2024,09,10,Swedish Krona,10.382235,0.096318
2024,09,10,Swiss Franc,0.849530,1.177122
2024,09,10,Taiwan New Dollar,32.115603,0.031138
2024,09,10,Thai Baht,33.876827,0.029519
2024,09,10,Trinidadian Dollar,6.784886,0.147386
2024,09,10,Turkish Lira,34.102123,0.029324
2024,09,10,Emirati Dirham,3.672500,0.272294
2024,09,10,British Pound,0.765120,1.306984
2024,09,11,Argentine Peso,957.607019,0.001044
2024,09,11,Australian Dollar,1.503175,0.665259
2024,09,11,Bahraini Dinar,0.376000,2.659574
2024,09,11,Botswana Pula,13.383788,0.074717
2024,09,11,Brazilian Real,5.664423,0.176541
2024,09,11,Bruneian Dollar,1.304339,0.766672
2024,09,11,Bulgarian Lev,1.774754,0.563458
2024,09,11,Canadian Dollar,1.361112,0.734693
2024,09,11,Chilean Peso,949.812870,0.001053
2024,09,11,Chinese Yuan Renminbi,7.120470,0.140440
2024,09,11,Colombian Peso,4279.170768,0.000234
2024,09,11,Czech Koruna,22.747585,0.043961
2024,09,11,Danish Krone,6.771291,0.147682
2024,09,11,Euro,0.907417,1.102029
2024,09,11,Hong Kong Dollar,7.797289,0.128250
2024,09,11,Hungarian Forint,360.213380,0.002776
2024,09,11,Icelandic Krona,138.202639,0.007236
2024,09,11,Indian Rupee,83.985303,0.011907
2024,09,11,Indonesian Rupiah,15492.823914,0.000065
2024,09,11,Iranian Rial,42199.776158,0.000024
2024,09,11,Israeli Shekel,3.760720,0.265907
2024,09,11,Japanese Yen,142.256463,0.007030
2024,09,11,Kazakhstani Tenge,477.220556,0.002095
2024,09,11,South Korean Won,1344.059461,0.000744
2024,09,11,Kuwaiti Dinar,0.305484,3.273496
