Title,Story Title,Release Date,Link
Daredevil #19,"""Alone -- Against the Underworld!""","June 2, 1966",https://marvel.fandom.com/wiki/Daredevil_Vol_1_19
Daredevil #20,"""The Verdict Is: Death!""","June 30, 1966",https://marvel.fandom.com/wiki/Daredevil_Vol_1_20
Daredevil #21,"""The Trap Is Sprung""","August 2, 1966",https://marvel.fandom.com/wiki/Daredevil_Vol_1_21
Daredevil #22,"""The Tri-Man Lives!""","September 1, 1966",https://marvel.fandom.com/wiki/Daredevil_Vol_1_22
Daredevil #23,"""DD Goes Wild!""","October 11, 1966",https://marvel.fandom.com/wiki/Daredevil_Vol_1_23
Daredevil #24,"""The Mystery of the Midnight Stalker!""","November 3, 1966",https://marvel.fandom.com/wiki/Daredevil_Vol_1_24
Daredevil #25,"""Enter: The Leap-Frog!""","December 8, 1966",https://marvel.fandom.com/wiki/Daredevil_Vol_1_25
Daredevil #26,"""Stilt-Man Strikes Again""","January 10, 1967",https://marvel.fandom.com/wiki/Daredevil_Vol_1_26
Daredevil #27,"""Mike Murdock Must Die!""","February 14, 1967",https://marvel.fandom.com/wiki/Daredevil_Vol_1_27
Daredevil #28,"""Thou Shalt Not Covet Thy Neighbor's Planet!""","March 14, 1967",https://marvel.fandom.com/wiki/Daredevil_Vol_1_28
Daredevil #29,"""Unmasked!""","April 11, 1967",https://marvel.fandom.com/wiki/Daredevil_Vol_1_29
Daredevil #30,"""-- If there Should Be a Thunder God!""","May 9, 1967",https://marvel.fandom.com/wiki/Daredevil_Vol_1_30
Daredevil #31,"""Blind Man's Bluff!""","June 8, 1967",https://marvel.fandom.com/wiki/Daredevil_Vol_1_31
Daredevil #32,"""...To Fight the Impossible Fight!""","July 11, 1967",https://marvel.fandom.com/wiki/Daredevil_Vol_1_32
Daredevil #33,"""Behold... The Beetle!""","August 8, 1967",https://marvel.fandom.com/wiki/Daredevil_Vol_1_33
Daredevil #34,"""To Squash a Beetle!""","September 7, 1967",https://marvel.fandom.com/wiki/Daredevil_Vol_1_34
Daredevil #35,"""Daredevil Dies First!""","October 10, 1967",https://marvel.fandom.com/wiki/Daredevil_Vol_1_35
Daredevil #36,"""The Name of the Game Is Mayhem!""","November 9, 1967",https://marvel.fandom.com/wiki/Daredevil_Vol_1_36
Daredevil #37,"""Don't Look Now, But It's-- Dr. Doom!""","December 12, 1967",https://marvel.fandom.com/wiki/Daredevil_Vol_1_37
Daredevil #38,"""The Living Prison!""","January 9, 1968",https://marvel.fandom.com/wiki/Daredevil_Vol_1_38
Daredevil #39,"""The Exterminator and the Super-Powered Unholy Three""","February 8, 1968",https://marvel.fandom.com/wiki/Daredevil_Vol_1_39
Daredevil #40,"""The Fallen Hero!""","March 7, 1968",https://marvel.fandom.com/wiki/Daredevil_Vol_1_40
Daredevil #41,"""The Death of Mike Murdock!""","April 9, 1968",https://marvel.fandom.com/wiki/Daredevil_Vol_1_41
Daredevil #42,"""Nobody Laughs at the Jester!""","May 9, 1968",https://marvel.fandom.com/wiki/Daredevil_Vol_1_42
Daredevil #43,"""In Combat With Captain America!""","June 11, 1968",https://marvel.fandom.com/wiki/Daredevil_Vol_1_43
Daredevil #44,"""I, Murderer!""","July 16, 1968",https://marvel.fandom.com/wiki/Daredevil_Vol_1_44
Daredevil #45,"""The Dismal Dregs of Defeat!""","August 13, 1968",https://marvel.fandom.com/wiki/Daredevil_Vol_1_45
Daredevil #46,"""..The Final Jest!""","September 10, 1968",https://marvel.fandom.com/wiki/Daredevil_Vol_1_46
Daredevil #47,"""Brother, Take My Hand!""","October 10, 1968",https://marvel.fandom.com/wiki/Daredevil_Vol_1_47
Daredevil #48,"""Farewell to Foggy!""","November 12, 1968",https://marvel.fandom.com/wiki/Daredevil_Vol_1_48
Daredevil #49,"""Daredevil Drops Out""","December 12, 1968",https://marvel.fandom.com/wiki/Daredevil_Vol_1_49
Daredevil #50,"""If in Battle I Fall---!""","January 9, 1969",https://marvel.fandom.com/wiki/Daredevil_Vol_1_50
Daredevil #51,"""Run, Murdock, Run!""","February 11, 1969",https://marvel.fandom.com/wiki/Daredevil_Vol_1_51
Daredevil #52,"""The Night of the Panther!""","March 11, 1969",https://marvel.fandom.com/wiki/Daredevil_Vol_1_52
Daredevil #53,"""As It Was in the Beginning...""","April 10, 1969",https://marvel.fandom.com/wiki/Daredevil_Vol_1_53
Daredevil #54,"""Call Him... Fear!""","May 13, 1969",https://marvel.fandom.com/wiki/Daredevil_Vol_1_54
Daredevil #55,"""Cry Coward!""","June 17, 1969",https://marvel.fandom.com/wiki/Daredevil_Vol_1_55
Daredevil #56,"""... And Death Came Riding!""","July 15, 1969",https://marvel.fandom.com/wiki/Daredevil_Vol_1_56
Daredevil #57,"""In the Midst of Life...!""","August 12, 1969",https://marvel.fandom.com/wiki/Daredevil_Vol_1_57
Daredevil #58,"""Spin-Out on Fifth Avenue!""","September 16, 1969",https://marvel.fandom.com/wiki/Daredevil_Vol_1_58
Daredevil #59,"""The Torpedo Will Get You If You Don't Watch Out!""","October 14, 1969",https://marvel.fandom.com/wiki/Daredevil_Vol_1_59
Daredevil #60,"""Showdown at Sea!""","November 19, 1969",https://marvel.fandom.com/wiki/Daredevil_Vol_1_60
Daredevil #61,"""Trapped -- by the Trio of Doom!""","December 16, 1969",https://marvel.fandom.com/wiki/Daredevil_Vol_1_61
Daredevil #62,"""Quoth the Nighthawk, Nevermore!""","January 12, 1970",https://marvel.fandom.com/wiki/Daredevil_Vol_1_62
Daredevil #63,"""The Girl -- or the Gladiator?""","February 19, 1970",https://marvel.fandom.com/wiki/Daredevil_Vol_1_63
Daredevil #64,"""Suddenly...the Stunt-Master!""","March 19, 1970",https://marvel.fandom.com/wiki/Daredevil_Vol_1_64
Daredevil #65,"""The Killing of Brother Brimstone""","April 17, 1970",https://marvel.fandom.com/wiki/Daredevil_Vol_1_65
Daredevil #66,"""...And One Cried Murder!""","May 21, 1970",https://marvel.fandom.com/wiki/Daredevil_Vol_1_66
Daredevil #67,"""Stilt-Man Stalks the Soundstage""","June 18, 1970",https://marvel.fandom.com/wiki/Daredevil_Vol_1_67
Daredevil #68,"""Phoenix and the Fighter!""","July 21, 1970",https://marvel.fandom.com/wiki/Daredevil_Vol_1_68
Daredevil #69,"""A Life on the Line""","August 18, 1970",https://marvel.fandom.com/wiki/Daredevil_Vol_1_69
Daredevil #70,"""The Tribune""","September 15, 1970",https://marvel.fandom.com/wiki/Daredevil_Vol_1_70
Daredevil #71,"""If an Eye Offend Thee...!""","October 13, 1970",https://marvel.fandom.com/wiki/Daredevil_Vol_1_71
Daredevil #72,"""Lo! The Lord of the Leopards!""","November 10, 1970",https://marvel.fandom.com/wiki/Daredevil_Vol_1_72
Daredevil #73,"""Behold... The Brotherhood!""","December 8, 1970",https://marvel.fandom.com/wiki/Daredevil_Vol_1_73
Daredevil #74,"""In the Country of the Blind!""","January 5, 1971",https://marvel.fandom.com/wiki/Daredevil_Vol_1_74
Daredevil #75,"""Now Rides the Ghost of El Condor!""","February 2, 1971",https://marvel.fandom.com/wiki/Daredevil_Vol_1_75
Daredevil #76,"""The Deathmarch of El Condor!""","March 2, 1971",https://marvel.fandom.com/wiki/Daredevil_Vol_1_76
Daredevil #77,"""...And So Enters the Amazing Spider-Man""","April 6, 1971",https://marvel.fandom.com/wiki/Daredevil_Vol_1_77
Daredevil #78,"""The Horns of the Bull!""","May 4, 1971",https://marvel.fandom.com/wiki/Daredevil_Vol_1_78
Daredevil #79,"""Murder! Cries The Man-Bull!""","June 1, 1971",https://marvel.fandom.com/wiki/Daredevil_Vol_1_79
Daredevil #80,"""In the Eyes... of the Owl!""","July 6, 1971",https://marvel.fandom.com/wiki/Daredevil_Vol_1_80
Daredevil #81,"""And Death Is a Woman Called Widow""","August 3, 1971",https://marvel.fandom.com/wiki/Daredevil_Vol_1_81
Daredevil #82,"""Now Send... The Scorpion!""","August 31, 1971",https://marvel.fandom.com/wiki/Daredevil_Vol_1_82
Daredevil #83,"""The Widow Accused!""","October 5, 1971",https://marvel.fandom.com/wiki/Daredevil_Vol_1_83
Daredevil #84,"""Night of the Assassin!""","November 2, 1971",https://marvel.fandom.com/wiki/Daredevil_Vol_1_84
Daredevil #85,"""Night Flight!""","November 30, 1971",https://marvel.fandom.com/wiki/Daredevil_Vol_1_85
Daredevil #86,"""Once Upon a Time -- The Ox!""","January 4, 1972",https://marvel.fandom.com/wiki/Daredevil_Vol_1_86
Daredevil #87,"""From Stage Left, Enter: Electro!""","February 8, 1972",https://marvel.fandom.com/wiki/Daredevil_Vol_1_87
Daredevil #88,"""Call Him Killgrave!""","March 7, 1972",https://marvel.fandom.com/wiki/Daredevil_Vol_1_88
Daredevil #89,"""Crisis!""","April 4, 1972",https://marvel.fandom.com/wiki/Daredevil_Vol_1_89
Daredevil #90,"""The Sinister Secret of Project Four!""","May 9, 1972",https://marvel.fandom.com/wiki/Daredevil_Vol_1_90
Daredevil #91,"""Fear Is the Key!""","June 6, 1972",https://marvel.fandom.com/wiki/Daredevil_Vol_1_91
Daredevil #92,"""On the Eve of the Talon!""","July 4, 1972",https://marvel.fandom.com/wiki/Daredevil_Vol_1_92
Daredevil #93,"""A Power Corrupt!""","August 1, 1972",https://marvel.fandom.com/wiki/Daredevil_Vol_1_93
Daredevil #94,"""He Can Crush the World!""","August 29, 1972",https://marvel.fandom.com/wiki/Daredevil_Vol_1_94
Daredevil #95,"""Bullfight on the Bay!""","October 3, 1972",https://marvel.fandom.com/wiki/Daredevil_Vol_1_95
Daredevil #96,"""The Widow Will Make You Pay!""","October 31, 1972",https://marvel.fandom.com/wiki/Daredevil_Vol_1_96
Daredevil #97,"""He Who Saves""","November 28, 1972",https://marvel.fandom.com/wiki/Daredevil_Vol_1_97
Daredevil #98,"""Let There Be -- Death!""","January 2, 1973",https://marvel.fandom.com/wiki/Daredevil_Vol_1_98
Daredevil #99,"""The Mark of Hawkeye!""","February 6, 1973",https://marvel.fandom.com/wiki/Daredevil_Vol_1_99
Daredevil #100,"""Mind Storm!""","March 6, 1973",https://marvel.fandom.com/wiki/Daredevil_Vol_1_100
Daredevil #101,"""Vengeance in the Sky with Diamonds!""","April 3, 1973",https://marvel.fandom.com/wiki/Daredevil_Vol_1_101
Daredevil #102,"""Stilt-Man Stalks the City!""","May 8, 1973",https://marvel.fandom.com/wiki/Daredevil_Vol_1_102
Daredevil #103,"""...Then Came Ramrod!""","June 5, 1973",https://marvel.fandom.com/wiki/Daredevil_Vol_1_103
Daredevil #104,"""Prey of the Hunter!""","July 3, 1973",https://marvel.fandom.com/wiki/Daredevil_Vol_1_104
Daredevil #105,"""Menace From the Moons of Saturn!""","July 31, 1973",https://marvel.fandom.com/wiki/Daredevil_Vol_1_105
Daredevil #106,"""Life Be Not Proud!""","August 28, 1973",https://marvel.fandom.com/wiki/Daredevil_Vol_1_106
Daredevil #107,"""Blind Man's Bluff!""","September 25, 1973",https://marvel.fandom.com/wiki/Daredevil_Vol_1_107
Daredevil #108,"""Cry... Beetle!""","November 20, 1973",https://marvel.fandom.com/wiki/Daredevil_Vol_1_108
Daredevil #109,"""Dying for Dollar$!""","January 29, 1974",https://marvel.fandom.com/wiki/Daredevil_Vol_1_109
Daredevil #110,"""Birthright!""","March 5, 1974",https://marvel.fandom.com/wiki/Daredevil_Vol_1_110
Daredevil #111,"""Sword of the Samurai!""","April 2, 1974",https://marvel.fandom.com/wiki/Daredevil_Vol_1_111
Daredevil #112,"""Death of a Nation?""","April 30, 1974",https://marvel.fandom.com/wiki/Daredevil_Vol_1_112
Daredevil #113,"""When Strikes the Gladiator!""","June 4, 1974",https://marvel.fandom.com/wiki/Daredevil_Vol_1_113
Daredevil #114,"""A Quiet Night in the Swamp!""","July 2, 1974",https://marvel.fandom.com/wiki/Daredevil_Vol_1_114
Daredevil #115,"""Death Stalks the City!""","July 30, 1974",https://marvel.fandom.com/wiki/Daredevil_Vol_1_115
Daredevil #116,"""Two Flew Over the Owl's Nest!""","September 3, 1974",https://marvel.fandom.com/wiki/Daredevil_Vol_1_116
Daredevil #117,"""Mind Tap!""","October 3, 1974",https://marvel.fandom.com/wiki/Daredevil_Vol_1_117
Daredevil #118,"""Circus Spelled Sideways Is Death!""","November 5, 1974",https://marvel.fandom.com/wiki/Daredevil_Vol_1_118
Daredevil #119,"""They're Tearing Down Fogwell's Gym!""","December 3, 1974",https://marvel.fandom.com/wiki/Daredevil_Vol_1_119
Daredevil #120,"""And a HYDRA New Year!""","January 7, 1975",https://marvel.fandom.com/wiki/Daredevil_Vol_1_120
Daredevil #121,"""Foggy Nelson, Agent of S.H.I.E.L.D.""","February 4, 1975",https://marvel.fandom.com/wiki/Daredevil_Vol_1_121
Daredevil #122,"""HYDRA-And-Seek""","March 4, 1975",https://marvel.fandom.com/wiki/Daredevil_Vol_1_122
Daredevil #123,"""Holocaust In the Halls of HYDRA!""","April 1, 1975",https://marvel.fandom.com/wiki/Daredevil_Vol_1_123
Daredevil #124,"""In the Coils of the Copperhead!""","May 6, 1975",https://marvel.fandom.com/wiki/Daredevil_Vol_1_124
Daredevil #125,"""Vengeance Is the Copperhead!""","June 3, 1975",https://marvel.fandom.com/wiki/Daredevil_Vol_1_125
Daredevil #126,"""Flight of the Torpedo!""","July 1, 1975",https://marvel.fandom.com/wiki/Daredevil_Vol_1_126
Daredevil #127,"""You Killed That Man, Torpedo--And Now You're Going To Pay!""","August 5, 1975",https://marvel.fandom.com/wiki/Daredevil_Vol_1_127
Daredevil #128,"""Death Stalks the Stairway to the Stars!""","September 2, 1975",https://marvel.fandom.com/wiki/Daredevil_Vol_1_128
Daredevil #129,"""Man-Bull In a China Town!""","October 7, 1975",https://marvel.fandom.com/wiki/Daredevil_Vol_1_129
Daredevil #130,"""Look Out, DD--Here Comes the Death-Man!""","November 4, 1975",https://marvel.fandom.com/wiki/Daredevil_Vol_1_130
Daredevil #131,"""Watch Out For Bullseye He Never Misses!""","December 2, 1975",https://marvel.fandom.com/wiki/Daredevil_Vol_1_131
Daredevil #132,"""Bullseye Rules Supreme!""","January 6, 1976",https://marvel.fandom.com/wiki/Daredevil_Vol_1_132
Daredevil #133,"""Mind-Wave and His Fearsome Think Tank""","February 3, 1976",https://marvel.fandom.com/wiki/Daredevil_Vol_1_133
Daredevil #134,"""There's Trouble In New York City""","March 2, 1976",https://marvel.fandom.com/wiki/Daredevil_Vol_1_134
Daredevil #135,"""What Is Happening?""","April 6, 1976",https://marvel.fandom.com/wiki/Daredevil_Vol_1_135
Daredevil #136,"""A Hanging for a Hero!""","May 4, 1976",https://marvel.fandom.com/wiki/Daredevil_Vol_1_136
Daredevil #137,"""The Murder Maze Strikes Twice!""","June 1, 1976",https://marvel.fandom.com/wiki/Daredevil_Vol_1_137
Daredevil #138,"""Where Is Karen Page?""","July 6, 1976",https://marvel.fandom.com/wiki/Daredevil_Vol_1_138
Daredevil #139,"""A Night In the Life""","August 3, 1976",https://marvel.fandom.com/wiki/Daredevil_Vol_1_139
Daredevil #140,"""Death Times Two!""","September 7, 1976",https://marvel.fandom.com/wiki/Daredevil_Vol_1_140
Daredevil #141,"""Target: Death!""","October 5, 1976",https://marvel.fandom.com/wiki/Daredevil_Vol_1_141
Daredevil #142,"""The Concrete Jungle!""","November 2, 1976",https://marvel.fandom.com/wiki/Daredevil_Vol_1_142
Daredevil #143,"""Hyde and Go Seek, Sayeth the Cobra!""","November 30, 1976",https://marvel.fandom.com/wiki/Daredevil_Vol_1_143
Daredevil #144,"""Man-Bull Means Mayhem""","January 4, 1977",https://marvel.fandom.com/wiki/Daredevil_Vol_1_144
Daredevil #145,"""Danger Rides the Bitter Wind!""","February 1, 1977",https://marvel.fandom.com/wiki/Daredevil_Vol_1_145
Daredevil #146,"""Duel!""","March 1, 1977",https://marvel.fandom.com/wiki/Daredevil_Vol_1_146
Daredevil #147,"""Breaking Point!""","April 5, 1977",https://marvel.fandom.com/wiki/Daredevil_Vol_1_147
Daredevil #148,"""Manhunt!""","June 29, 1977",https://marvel.fandom.com/wiki/Daredevil_Vol_1_148
Daredevil #149,"""Catspaw!""","August 3, 1977",https://marvel.fandom.com/wiki/Daredevil_Vol_1_149
Daredevil #150,"""Catastrophe!""","October 4, 1977",https://marvel.fandom.com/wiki/Daredevil_Vol_1_150
Daredevil #151,"""Crisis!""","December 6, 1977",https://marvel.fandom.com/wiki/Daredevil_Vol_1_151
Daredevil #152,"""Prisoner!""","February 2, 1978",https://marvel.fandom.com/wiki/Daredevil_Vol_1_152
Daredevil #153,"""Betrayal""","April 4, 1978",https://marvel.fandom.com/wiki/Daredevil_Vol_1_153
Daredevil #154,"""Arena!""","June 6, 1978",https://marvel.fandom.com/wiki/Daredevil_Vol_1_154
Daredevil #155,"""The Man Without Fear?""","August 1, 1978",https://marvel.fandom.com/wiki/Daredevil_Vol_1_155
Daredevil #156,"""Ring of Death!""","October 3, 1978",https://marvel.fandom.com/wiki/Daredevil_Vol_1_156
Daredevil #157,"""The Ungrateful Dead""","November 28, 1978",https://marvel.fandom.com/wiki/Daredevil_Vol_1_157
Daredevil #158,"""A Grave Mistake!""","January 30, 1979",https://marvel.fandom.com/wiki/Daredevil_Vol_1_158
Daredevil #159,"""Marked for Murder!""","April 3, 1979",https://marvel.fandom.com/wiki/Daredevil_Vol_1_159
Daredevil #160,"""In the Hands of Bullseye""","June 5, 1979",https://marvel.fandom.com/wiki/Daredevil_Vol_1_160
Daredevil #161,"""To Dare the Devil""","August 7, 1979",https://marvel.fandom.com/wiki/Daredevil_Vol_1_161
Daredevil #162,"""Requiem for a Pug!""","October 2, 1979",https://marvel.fandom.com/wiki/Daredevil_Vol_1_162
Daredevil #163,"""Blind Alley""","December 4, 1979",https://marvel.fandom.com/wiki/Daredevil_Vol_1_163
Daredevil #164,"""Exposé""","February 5, 1980",https://marvel.fandom.com/wiki/Daredevil_Vol_1_164
Daredevil #165,"""Arms of the Octopus""","April 1, 1980",https://marvel.fandom.com/wiki/Daredevil_Vol_1_165
Daredevil #166,"""Till Death Do Us Part!""","June 3, 1980",https://marvel.fandom.com/wiki/Daredevil_Vol_1_166
Daredevil #167,"""...The Mauler!""","August 19, 1980",https://marvel.fandom.com/wiki/Daredevil_Vol_1_167
Daredevil #168,"""Elektra""","October 7, 1980",https://marvel.fandom.com/wiki/Daredevil_Vol_1_168
Daredevil #169,"""Devils""","December 2, 1980",https://marvel.fandom.com/wiki/Daredevil_Vol_1_169
Daredevil #170,"""The Kingpin Must Die!""","February 3, 1981",https://marvel.fandom.com/wiki/Daredevil_Vol_1_170
Daredevil #171,"""In the Kingpin's Clutches""","March 3, 1981",https://marvel.fandom.com/wiki/Daredevil_Vol_1_171
Daredevil #172,"""Gangwar!""","March 24, 1981",https://marvel.fandom.com/wiki/Daredevil_Vol_1_172
Daredevil #173,"""Lady Killer""","April 28, 1981",https://marvel.fandom.com/wiki/Daredevil_Vol_1_173
Daredevil #174,"""The Assassination of Matt Murdock""","May 26, 1981",https://marvel.fandom.com/wiki/Daredevil_Vol_1_174
Daredevil #175,"""Gantlet""","June 23, 1981",https://marvel.fandom.com/wiki/Daredevil_Vol_1_175
Daredevil #176,"""Hunters""","July 28, 1981",https://marvel.fandom.com/wiki/Daredevil_Vol_1_176
Daredevil #177,"""Where Angels Fear to Tread""","August 25, 1981",https://marvel.fandom.com/wiki/Daredevil_Vol_1_177
Daredevil #178,"""Paper Chase""","September 22, 1981",https://marvel.fandom.com/wiki/Daredevil_Vol_1_178
Daredevil #179,"""Spiked!""","October 27, 1981",https://marvel.fandom.com/wiki/Daredevil_Vol_1_179
Daredevil #180,"""The Damned""","November 24, 1981",https://marvel.fandom.com/wiki/Daredevil_Vol_1_180
Daredevil #181,"""Last Hand""","December 29, 1981",https://marvel.fandom.com/wiki/Daredevil_Vol_1_181
Daredevil #182,"""She's Alive""","January 26, 1982",https://marvel.fandom.com/wiki/Daredevil_Vol_1_182
Daredevil #183,"""Child's Play""","February 23, 1982",https://marvel.fandom.com/wiki/Daredevil_Vol_1_183
Daredevil #184,"""Good Guys Wear Red!""","March 23, 1982",https://marvel.fandom.com/wiki/Daredevil_Vol_1_184
Daredevil #185,"""Guts""","April 27, 1982",https://marvel.fandom.com/wiki/Daredevil_Vol_1_185
Daredevil #186,"""Stilts""","May 25, 1982",https://marvel.fandom.com/wiki/Daredevil_Vol_1_186
Daredevil #187,"""Overkill""","June 22, 1982",https://marvel.fandom.com/wiki/Daredevil_Vol_1_187
Daredevil #188,"""The Widow's Bite""","July 27, 1982",https://marvel.fandom.com/wiki/Daredevil_Vol_1_188
Daredevil #189,"""Siege""","August 24, 1982",https://marvel.fandom.com/wiki/Daredevil_Vol_1_189
Daredevil #190,"""Resurrection""","September 28, 1982",https://marvel.fandom.com/wiki/Daredevil_Vol_1_190
Daredevil #191,"""Roulette""","October 26, 1982",https://marvel.fandom.com/wiki/Daredevil_Vol_1_191
Daredevil #192,"""Promises""","November 23, 1982",https://marvel.fandom.com/wiki/Daredevil_Vol_1_192
Daredevil #193,"""Bitsy's Revenge""","December 28, 1982",https://marvel.fandom.com/wiki/Daredevil_Vol_1_193
Daredevil #194,"""Judgement""","January 25, 1983",https://marvel.fandom.com/wiki/Daredevil_Vol_1_194
Daredevil #195,"""Betrayal""","February 22, 1983",https://marvel.fandom.com/wiki/Daredevil_Vol_1_195
Daredevil #196,"""Enemies""","March 22, 1983",https://marvel.fandom.com/wiki/Daredevil_Vol_1_196
Daredevil #197,"""Journey""","April 26, 1983",https://marvel.fandom.com/wiki/Daredevil_Vol_1_197
Daredevil #198,"""Touch of a Stranger""","May 24, 1983",https://marvel.fandom.com/wiki/Daredevil_Vol_1_198
Daredevil #199,"""Daughter of a Dark Wind""","June 28, 1983",https://marvel.fandom.com/wiki/Daredevil_Vol_1_199
Daredevil #200,"""Redemption""","July 26, 1983",https://marvel.fandom.com/wiki/Daredevil_Vol_1_200
Daredevil #201,"""The Day the Devil Didn't Dare""","August 23, 1983",https://marvel.fandom.com/wiki/Daredevil_Vol_1_201
Daredevil #202,"""Savages""","September 27, 1983",https://marvel.fandom.com/wiki/Daredevil_Vol_1_202
Daredevil #203,"""Trumps""","October 25, 1983",https://marvel.fandom.com/wiki/Daredevil_Vol_1_203
Daredevil #204,"""Vengeance of the Victim""","November 22, 1983",https://marvel.fandom.com/wiki/Daredevil_Vol_1_204
Daredevil #205,"""The Gael""","December 27, 1983",https://marvel.fandom.com/wiki/Daredevil_Vol_1_205
Daredevil #206,"""Every Good and Perfect Gift""","January 24, 1984",https://marvel.fandom.com/wiki/Daredevil_Vol_1_206
Daredevil #207,"""Ultimatum""","February 28, 1984",https://marvel.fandom.com/wiki/Daredevil_Vol_1_207
Daredevil #208,"""The Deadliest Night of My Life""","March 27, 1984",https://marvel.fandom.com/wiki/Daredevil_Vol_1_208
Daredevil #209,"""Blast from the Past""","April 24, 1984",https://marvel.fandom.com/wiki/Daredevil_Vol_1_209
Daredevil #210,"""Survivor""","May 22, 1984",https://marvel.fandom.com/wiki/Daredevil_Vol_1_210
Daredevil #211,"""This Hungry God""","June 26, 1984",https://marvel.fandom.com/wiki/Daredevil_Vol_1_211
Daredevil #212,"""Lies""","July 24, 1984",https://marvel.fandom.com/wiki/Daredevil_Vol_1_212
Daredevil #213,"""The Blindness Men Wish For""","August 28, 1984",https://marvel.fandom.com/wiki/Daredevil_Vol_1_213
Daredevil #214,"""The Crumbling""","September 25, 1984",https://marvel.fandom.com/wiki/Daredevil_Vol_1_214
Daredevil #215,"""Prophecy""","October 23, 1984",https://marvel.fandom.com/wiki/Daredevil_Vol_1_215
Daredevil #216,"""The Second Secret""","November 27, 1984",https://marvel.fandom.com/wiki/Daredevil_Vol_1_216
Daredevil #217,"""The Sight Stealer""","December 25, 1984",https://marvel.fandom.com/wiki/Daredevil_Vol_1_217
Daredevil #218,"""All My Laurels You Have Riven Away""","January 22, 1985",https://marvel.fandom.com/wiki/Daredevil_Vol_1_218
Daredevil #219,"""Badlands""","February 26, 1985",https://marvel.fandom.com/wiki/Daredevil_Vol_1_219
Daredevil #220,"""Fog""","March 26, 1985",https://marvel.fandom.com/wiki/Daredevil_Vol_1_220
Daredevil #221,"""Behold My Vengeance""","April 23, 1985",https://marvel.fandom.com/wiki/Daredevil_Vol_1_221
Daredevil #222,"""Fear In a Handful of Dust""","May 28, 1985",https://marvel.fandom.com/wiki/Daredevil_Vol_1_222
Daredevil #223,"""The Price""","June 25, 1985",https://marvel.fandom.com/wiki/Daredevil_Vol_1_223
Daredevil #224,"""Abe""","July 23, 1985",https://marvel.fandom.com/wiki/Daredevil_Vol_1_224
Daredevil #225,"""And Then You Die""","August 27, 1985",https://marvel.fandom.com/wiki/Daredevil_Vol_1_225
Daredevil #226,"""Warriors""","September 24, 1985",https://marvel.fandom.com/wiki/Daredevil_Vol_1_226
Daredevil #227,"""Apocalypse""","October 22, 1985",https://marvel.fandom.com/wiki/Daredevil_Vol_1_227
Daredevil #228,"""Purgatory""","November 26, 1985",https://marvel.fandom.com/wiki/Daredevil_Vol_1_228
Daredevil #229,"""Pariah""","December 24, 1985",https://marvel.fandom.com/wiki/Daredevil_Vol_1_229
Daredevil #230,"""Born Again""","January 28, 1986",https://marvel.fandom.com/wiki/Daredevil_Vol_1_230
Daredevil #231,"""Saved""","February 25, 1986",https://marvel.fandom.com/wiki/Daredevil_Vol_1_231
